codigo_activo_excel,descripcion_excel,codigo_padre_excel,grupo_activos,area,criticalidad,sector_raiz_codigo,sector_codigo_derivado,sector_nombre_derivado,nivel_profundidad,es_raiz_sector,es_lgc,es_hoja,cantidad_hijos,incluir_en_catalogo_manual,motivo_exclusion
PR-PRP1-RSC-TSG22A,ROSCA TSG-22A,PR-PRP1-LGC-ROSCAS,PR-PRP1-RSC-TSG22A,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RSC-TSG23,ROSCA TSG-23,PR-PRP1-LGC-ROSCAS,PR-PRP1-RSC-TSG23,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RSC-TSG24,ROSCA TSG-24,PR-PRP1-LGC-ROSCAS,PR-PRP1-RSC-TSG24,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RSC-TSG25,ROSCA TSG-25,PR-PRP1-LGC-ROSCAS,PR-PRP1-RSC-TSG25,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RSC-TSG32,ROSCA TSG-32,PR-PRP1-LGC-ROSCAS,PR-PRP1-RSC-TSG32,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RSC-TSG33,ROSCA TSG-33,PR-PRP1-LGC-ROSCAS,PR-PRP1-RSC-TSG33,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RSC-TSG35,ROSCA TSG-35,PR-PRP1-LGC-ROSCAS,PR-PRP1-RSC-TSG35,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RSC-TSG36,ROSCA TSG-36,PR-PRP1-LGC-ROSCAS,PR-PRP1-RSC-TSG36,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RSC-TSG37,ROSCA TSG-37,PR-PRP1-LGC-ROSCAS,PR-PRP1-RSC-TSG37,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
PR-PRP1-RSC-TSG42,ROSCA TSG-42,PR-PRP1-LGC-ROSCAS,PR-PRP1-RSC-TSG42,PTA RIC - R2 RP,A,PR-PRP1-LGC-PREPARACION 1,PRP1,PREPARACION LINEA 1,2,NO,NO,SI,0,,
