planta_codigo,sector_codigo,sector_nombre,nivel_manual,nombre_visible,codigo_lgc,description_destino,codigo_sector_lgc,codigo_subsector_lgc,codigo_unidad_manual,nombre_unidad_manual
P10,PRL,PRELIMPIEZA,SUBSECTOR,ZARANDAS,P10-PRL-LGC-ZARANDAS,BTZ_Description_03,P10-PRL-LGC-PRELIMPIEZA,P10-PRL-LGC-ZARANDAS,,
P10,PRP,PREPARACION,SUBSECTOR,BEAN HEATER,P10-PRP-LGC-BEAN HEATER,BTZ_Description_03,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-BEAN HEATER,,
P10,PRP,PREPARACION,SUBSECTOR,EXPANDIDO,P10-PRP-LGC-EXPANDIDO,BTZ_Description_03,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-EXPANDIDO,,
P10,PRP,PREPARACION,SUBSECTOR,LAMINADORES,P10-PRP-LGC-LAMINADORES,BTZ_Description_03,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-LAMINADORES,,
P10,PRP,PREPARACION,SUBSECTOR,QUEBRADORES,P10-PRP-LGC-QUEBRADORES,BTZ_Description_03,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-QUEBRADORES,,
P10,PRP,PREPARACION,SUBSECTOR,REDLER,P10-PRP-LGC-REDLER,BTZ_Description_03,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-REDLER,,
P10,RPS,REPUESTOS,SUBSECTOR,EN REPARACION,P10-RPS-LGC-EN REPARACION,BTZ_Description_03,P10-RPS-LGC-REPUESTOS,P10-RPS-LGC-EN REPARACION,,
P10,SRV,SERVICIOS,SUBSECTOR,AIRE COMPRIMIDO,P10-SRV-LGC-AIRE COMPRIMIDO,BTZ_Description_03,P10-SRV-LGC-SERVICIOS,P10-SRV-LGC-AIRE COMPRIMIDO,,
P10,SRV,SERVICIOS,SUBSECTOR,FUEL OIL,P10-SRV-LGC-FUEL OIL,BTZ_Description_03,P10-SRV-LGC-SERVICIOS,P10-SRV-LGC-FUEL OIL,,
P10,SRV,SERVICIOS,SUBSECTOR,OSMOSIS,P10-SRV-LGC-OSMOSIS,BTZ_Description_03,P10-SRV-LGC-SERVICIOS,P10-SRV-LGC-OSMOSIS,,
P10,SRV,SERVICIOS,SUBSECTOR,TORRES ENF EXT,P10-SRV-LGC-TORRES ENF EXT,BTZ_Description_03,P10-SRV-LGC-SERVICIOS,P10-SRV-LGC-TORRES ENF EXT,,
P10,SRV,SERVICIOS,SUBSECTOR,TRAT QUIM CALD,P10-SRV-LGC-TRAT QUIM CALD,BTZ_Description_03,P10-SRV-LGC-SERVICIOS,P10-SRV-LGC-TRAT QUIM CALD,,
P10,SRV,SERVICIOS,SUBSECTOR,TRATAMIENTO AGUA,P10-SRV-LGC-TRATAMIENTO AGUA,BTZ_Description_03,P10-SRV-LGC-SERVICIOS,P10-SRV-LGC-TRATAMIENTO AGUA,,
PP,DSC,DESCASCARADO,SUBSECTOR,ASPIRADORES,PP-DSC-LGC-ASPIRADORES,BTZ_Description_03,PP-DSC-LGC-DESCASCARADO,PP-DSC-LGC-ASPIRADORES,,
PP,DSC,DESCASCARADO,SUBSECTOR,DCCC,PP-DSC-LGC-DCCC,BTZ_Description_03,PP-DSC-LGC-DESCASCARADO,PP-DSC-LGC-DCCC,,
PP,DSC,DESCASCARADO,SUBSECTOR,DCCD,PP-DSC-LGC-DCCD,BTZ_Description_03,PP-DSC-LGC-DESCASCARADO,PP-DSC-LGC-DCCD,,
PP,DSC,DESCASCARADO,SUBSECTOR,MOLINO,PP-DSC-LGC-MOLINO,BTZ_Description_03,PP-DSC-LGC-DESCASCARADO,PP-DSC-LGC-MOLINO,,
PP,DSC,DESCASCARADO,SUBSECTOR,QUEBRADORES,PP-DSC-LGC-QUEBRADORES,BTZ_Description_03,PP-DSC-LGC-DESCASCARADO,PP-DSC-LGC-QUEBRADORES,,
PP,DSC,DESCASCARADO,SUBSECTOR,REDLER,PP-DSC-LGC-REDLER,BTZ_Description_03,PP-DSC-LGC-DESCASCARADO,PP-DSC-LGC-REDLER,,
PP,DSC,DESCASCARADO,SUBSECTOR,ZARANDAS,PP-DSC-LGC-ZARANDAS,BTZ_Description_03,PP-DSC-LGC-DESCASCARADO,PP-DSC-LGC-ZARANDAS,,
PP,EXT,EXTRACCION,SUBSECTOR,DESGOMADO,PP-EXT-LGC-DESGOMADO,BTZ_Description_03,PP-EXT-LGC-EXTRACCION,PP-EXT-LGC-DESGOMADO,,
PP,EXT,EXTRACCION,SUBSECTOR,DESTILACION,PP-EXT-LGC-DESTILACION,BTZ_Description_03,PP-EXT-LGC-EXTRACCION,PP-EXT-LGC-DESTILACION,,
PP,EXT,EXTRACCION,SUBSECTOR,RECUP GASES,PP-EXT-LGC-RECUP GASES,BTZ_Description_03,PP-EXT-LGC-EXTRACCION,PP-EXT-LGC-RECUP GASES,,
PP,EXT,EXTRACCION,SUBSECTOR,SOLVENTE,PP-EXT-LGC-SOLVENTE,BTZ_Description_03,PP-EXT-LGC-EXTRACCION,PP-EXT-LGC-SOLVENTE,,
PP,HRN,HARINA,SUBSECTOR,ENFRIADORES,PP-HRN-LGC-ENFRIADORES,BTZ_Description_03,PP-HRN-LGC-HARINA,PP-HRN-LGC-ENFRIADORES,,
PP,HRN,HARINA,SUBSECTOR,MEZCLADORAS,PP-HRN-LGC-MEZCLADORAS,BTZ_Description_03,PP-HRN-LGC-HARINA,PP-HRN-LGC-MEZCLADORAS,,
PP,HRN,HARINA,SUBSECTOR,MOLINOS,PP-HRN-LGC-MOLINOS,BTZ_Description_03,PP-HRN-LGC-HARINA,PP-HRN-LGC-MOLINOS,,
PP,HRN,HARINA,SUBSECTOR,NORIAS,PP-HRN-LGC-NORIAS,BTZ_Description_03,PP-HRN-LGC-HARINA,PP-HRN-LGC-NORIAS,,
PP,HRN,HARINA,SUBSECTOR,REDLER,PP-HRN-LGC-REDLER,BTZ_Description_03,PP-HRN-LGC-HARINA,PP-HRN-LGC-REDLER,,
PP,HRN,HARINA,SUBSECTOR,TAMIZADORES,PP-HRN-LGC-TAMIZADORES,BTZ_Description_03,PP-HRN-LGC-HARINA,PP-HRN-LGC-TAMIZADORES,,
PP,HRN,HARINA,SUBSECTOR,VALVULAS A PUERTO,PP-HRN-LGC-VALVULAS A PUERTO,BTZ_Description_03,PP-HRN-LGC-HARINA,PP-HRN-LGC-VALVULAS A PUERTO,,
PP,LCT,LECITINA,SUBSECTOR,ESTANDARIZADO,PP-LCT-LGC-ESTANDARIZADO,BTZ_Description_03,PP-LCT-LGC-LECITINA,PP-LCT-LGC-ESTANDARIZADO,,
PP,LCT,LECITINA,SUBSECTOR,EVAPORADORES,PP-LCT-LGC-EVAPORADORES,BTZ_Description_03,PP-LCT-LGC-LECITINA,PP-LCT-LGC-EVAPORADORES,,
PP,LCT,LECITINA,SUBSECTOR,PILETA BAROMETRICA,PP-LCT-LGC-PILETA BAROMETRICA,BTZ_Description_03,PP-LCT-LGC-LECITINA,PP-LCT-LGC-PILETA BAROMETRICA,,
PP,LCT,LECITINA,SUBSECTOR,TORRES ENFRIAMIENTO,PP-LCT-LGC-TORRES ENFRIAMIENTO,BTZ_Description_03,PP-LCT-LGC-LECITINA,PP-LCT-LGC-TORRES ENFRIAMIENTO,,
PP,LCT,LECITINA,SUBSECTOR,VOTATOR,PP-LCT-LGC-VOTATOR,BTZ_Description_03,PP-LCT-LGC-LECITINA,PP-LCT-LGC-VOTATOR,,
PP,PRL,PRELIMPIEZA,SUBSECTOR,ASPIRACIONES,PP-PRL-LGC-ASPIRACIONES,BTZ_Description_03,PP-PRL-LGC-PRELIMPIEZA,PP-PRL-LGC-ASPIRACIONES,,
