codigo_project,descripcion_project,element_id_contenedor,unique_id_contenedor,btz_path_contenedor,tipo_asociacion,ancestro_project_usado,estado_asociacion,escrito_en_btz_description,btz_description_slot_usado,motivo
P10-EXT-HDR-HCP01,HIDROCICLON PRIMARIO HCP01 LADO ESTE,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
P10-EXT-HDR-HCP02,HIDROCICLON PRIMARIO HCP02 LADO CENTRO,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_06,escrito_en_slot_btz
P10-EXT-HDR-HCP03,HIDROCICLON PRIMARIO HCP03 LADO OESTE,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_07,escrito_en_slot_btz
P10-EXT-HDR-HCS01E,HIDROCICLON SECUNDARIO HCS01E LADO ESTE-NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_08,escrito_en_slot_btz
P10-EXT-HDR-HCS01O,HIDROCICLON SECUNDARIO HCS01O LADO OESTE-NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_09,escrito_en_slot_btz
P10-EXT-HDR-HCS02E,HIDROCICLON SECUNDARIO HCS02E LADO ESTE-NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_10,escrito_en_slot_btz
P10-EXT-HDR-HCS02O,HIDROCICLON SECUNDARIO HCS02O LADO OESTE-NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_11,escrito_en_slot_btz
P10-EXT-HDR-HCS03E,HIDROCICLON SECUNDARIO HCS03E LADO ESTE -NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_12,escrito_en_slot_btz
P10-EXT-HDR-HCS03O,HIDROCICLON SECUNDARIO HCS03O LADO OESTE -NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_13,escrito_en_slot_btz
P10-EXT-HDR-HCS04E,HIDROCICLON SECUNDARIO HCS04E LADO ESTE -NORTE A SUR,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,contenedor_por_ancestro_project,P10-EXT-LGC-HIDROCICLONES,asociado_a_contenedor,SI,btz_description_14,escrito_en_slot_btz
