codigo_project,element_id_contenedor_detectado,unique_id_contenedor_detectado,btz_path_contenedor,estado_lectura,motivo,columnas_detectadas
P10-EXT-BMB-P450,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-TNQ-V415,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-BMB-P415,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-TNQ-HX435,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-BMB-P435,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-TNQ-V495,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-BMB-P491,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-TNQ-V410,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-AGT-A420C,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-BMB-P410,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-TNQ-V420,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
P10-EXT-AGT-A420,282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,ok,,codigo;element_id;unique_id;path
