element_id_contenedor,unique_id_contenedor,btz_path_contenedor,codigo_project,descripcion_project,slots_libres,cantidad_hijos_asignados,motivo_omision
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-ALM-AL14,ALIM. LAMINADOR L14,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-LMN-L15,LAMINADOR L15 LINEA 2,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-ALM-AL15,ALIM. LAMINADOR L15,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-LMN-L16,LAMINADOR L16 LINEA 2,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-ALM-AL16,ALIM. LAMINADOR L16,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-LMN-L17,LAMINADOR L17 LINEA 2,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-ALM-AL17,ALIM. LAMINADOR L17,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-LMN-L18,LAMINADOR L18 LINEA 2,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-ALM-AL18,ALIM. LAMINADOR L18,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-LMN-L19,LAMINADOR L19 LINEA 2,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-ALM-AL19,ALIM. LAMINADOR L19,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-LMN-L20,LAMINADOR L20 LINEA 2,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-ALM-AL20,ALIM. LAMINADOR L20,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-LMN-L21,LAMINADOR L21 LINEA 2,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-ALM-AL21,ALIM. LAMINADOR L21,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-LMN-L22,LAMINADOR L22 LINEA 2 LADO OESTE,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-ALM-AL22,ALIM. LAMINADOR L22,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-RCT-REC01,RECTIFICADORA DE P10 NRO 1,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-RCT-REC02,RECTIFICADORA DE P10 NRO 2,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-VNT-VE10,VENTILADOR DE ASPIRACION LAMINADORES,27,61,asociado_por_csv_externo_supera_slots_btz
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10-PRP-CCL-CVE10,CICLON VENTILADOR DE ASPIRACION LAMINADORES,27,61,asociado_por_csv_externo_supera_slots_btz
