element_id	group_key	slots	max_confidence
503404	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503406	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503412	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503414	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503420	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503422	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503428	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503430	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503436	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503438	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503444	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503446	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503452	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503454	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503460	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503462	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503468	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503470	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503476	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503478	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503484	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
503486	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__sin_mark	4	1.0
495170	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495172	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495174	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495176	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495178	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495180	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495182	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495184	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495186	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495188	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495190	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495192	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495194	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495196	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495198	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495200	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495202	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495204	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495206	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495208	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495210	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495212	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495214	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495216	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495218	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495220	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495222	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495224	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495226	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495228	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495230	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495232	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495234	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495236	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495238	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495240	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495242	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495244	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
495246	estructura|Structural Columns|Hormigón-Rectangular-Pilar|20*20||ref|test:npt_-0_53__sin_mark	4	1.0
