element_id,unique_id,category,family,type,name,btz_path_detectado,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,cantidad_btz_description_con_valor,slots_libres,cantidad_codigos_project_asignados_sugeridos
194853,f81472a3-6fc8-48c2-b0db-9288e233878c-0002f925,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-PLATAFORMAS VOLC,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLATAFORMAS VOLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
195058,f81472a3-6fc8-48c2-b0db-9288e233878c-0002f9f2,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-PLATAFORMAS VOLC > ptv 15 y 16,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLATAFORMAS VOLC,ptv 15 y 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,8
195205,f81472a3-6fc8-48c2-b0db-9288e233878c-0002fa85,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-PLATAFORMAS VOLC,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLATAFORMAS VOLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
203772,5b454621-eb24-48f7-a7ab-4cc203eecee7-00031bfc,Suelos,,Camino industrial,Camino industrial,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-PLAYA DE CAMIONES > PR-PLYMP-PLY-CAM2,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLAYA DE CAMIONES,PR-PLYMP-PLY-CAM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
208220,5b454621-eb24-48f7-a7ab-4cc203eecee7-00032d5c,Suelos,,Camino industrial,Camino industrial,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-PLAYA DE CAMIONES > PR-PLYMP-PLY-CAM1,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLAYA DE CAMIONES,PR-PLYMP-PLY-CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
221831,bb3a4321-4329-4428-8c24-a4c186128afa-00036287,Suelos,,Camino industrial,Camino industrial,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-PLAYA DE CAMIONES > PR-PLYMP-PLY-CAM3,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLAYA DE CAMIONES,PR-PLYMP-PLY-CAM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
223954,5ce8dc25-81da-49d9-83e5-de9e82452c13-00036ad2,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYSP-LGC-PLAYA Y SUB > PR-PLYSP-LGC-SILO EXPEDICION CELDA DEP. S.P. Nº 11 > PR-PLYSP-TLV-CCC11,PR,PR-PLYSP-LGC-PLAYA Y SUB,PR-PLYSP-LGC-SILO EXPEDICION CELDA DEP. S.P. Nº 11,PR-PLYSP-TLV-CCC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,3
224148,5ce8dc25-81da-49d9-83e5-de9e82452c13-00036b94,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYSP-LGC-PLAYA Y SUB > PR-PLYSP-LGC-SILO CELDA DEP. S.P. Nº 9 > PR-PLYSP-RSC-RS9,PR,PR-PLYSP-LGC-PLAYA Y SUB,PR-PLYSP-LGC-SILO CELDA DEP. S.P. Nº 9,PR-PLYSP-RSC-RS9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
232169,007165d0-5481-4cac-bfbc-3380881edccc-00038ae9,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-LCTS-LGC-LECITINA SOJA > PR-LCTS-LGC-GENERAL,PR,PR-LCTS-LGC-LECITINA SOJA,PR-LCTS-LGC-GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,10
232316,007165d0-5481-4cac-bfbc-3380881edccc-00038b7c,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PDA-LGC-PLANTA DE AGUA > PR-PDA-LGC-CISTERNA DE AGUA CLARIFICADA > PR-PDA-BMB-AGC05,PR,PR-PDA-LGC-PLANTA DE AGUA,PR-PDA-LGC-CISTERNA DE AGUA CLARIFICADA,PR-PDA-BMB-AGC05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,24
