element_id,unique_id,category,family,type,name,btz_path_detectado,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,cantidad_btz_description_con_valor,slots_libres,cantidad_codigos_project_asignados_sugeridos
196891,25d0f85d-57da-4cae-8ca2-9b682363407e-0003011b,Generic Models,silos rio3,silos rio,silos rio,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES ACEITE > TE-ACT-TNQ-TK3,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,2
197248,25d0f85d-57da-4cae-8ca2-9b682363407e-00030280,Roofs,,Genérico - 400 mm,Genérico - 400 mm,TE > TE-ACT-LGC-SECTOR ACEITE,TE,TE-ACT-LGC-SECTOR ACEITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,78,0
198056,25d0f85d-57da-4cae-8ca2-9b682363407e-000305a8,Roofs,,Genérico - 400 mm,Genérico - 400 mm,TE > TE-ADM-LGC-EDIFICIOS VARIOS > TE-TLL-LGC-OBRADOR ELECTRICO,TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-TLL-LGC-OBRADOR ELECTRICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,1
198120,25d0f85d-57da-4cae-8ca2-9b682363407e-000305e8,Roofs,,Genérico - 400 mm,Genérico - 400 mm,TE > TE-ADM-LGC-EDIFICIOS VARIOS > TE-TLL-TALLER TERM EMB,TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-TLL-TALLER TERM EMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,2
200296,25d0f85d-57da-4cae-8ca2-9b682363407e-00030e68,Floors,,Hormigón in situ 225 mm,Hormigón in situ 225 mm,TE > TE-EXP-LGC-EXPEDICION > TE-EXP-LGC-SECTOR ACCESO OSL,TE,TE-EXP-LGC-EXPEDICION,TE-EXP-LGC-SECTOR ACCESO OSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
238339,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a303,Generic Models,puert,puert,puert,TE > TE-EMB-LGC-SECTOR EMBARQUE > TE-EMB-LGC-ATRAQUE/AMARRE,TE,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-ATRAQUE/AMARRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,15
238578,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a3f2,Generic Models,puert1,puert,puert,TE > TE-EMB-LGC-SECTOR EMBARQUE > TE-EMB-LGC-ATRAQUE/AMARRE,TE,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-ATRAQUE/AMARRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
238598,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a406,Generic Models,puert2,puert,puert,TE > TE-EMB-LGC-SECTOR EMBARQUE > TE-EMB-LGC-ATRAQUE/AMARRE,TE,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-ATRAQUE/AMARRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
238634,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a42a,Generic Models,puert3,puert,puert,TE-EMB-LGC-SECTOR EMBARQUE,,TE-EMB-LGC-SECTOR EMBARQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,79,0
238674,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a452,Generic Models,puert4,puert,puert,TE > TE-TDM-LGC-TORRE DE MANIPULEO,TE,TE-TDM-LGC-TORRE DE MANIPULEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,78,59
239666,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a832,Generic Models,embarque,embarque,embarque,TE > TE-EMB-LGC-SECTOR EMBARQUE > TE-EMB-LGC-CINTAS EMBARQUE,TE,TE-EMB-LGC-SECTOR EMBARQUE,TE-EMB-LGC-CINTAS EMBARQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,20
239853,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a8ed,Generic Models,Silos rio carga,Silos rio carga,Silos rio carga,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES ACEITE > TE-ACT-TNQ-TK7,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
239868,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a8fc,Generic Models,Silos rio carga1,Silos rio carga,Silos rio carga,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES ACEITE > TE-ACT-TNQ-TK6,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
239885,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a90d,Generic Models,Silos rio carga2,Silos rio carga,Silos rio carga,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES ACEITE > TE-ACT-TNQ-TK5,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
239910,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a926,Generic Models,Silos rio carga3,Silos rio carga,Silos rio carga,TE > TE-ACT-LGC-SECTOR ACEITE > TE-GLC-LGC-TANQUES TGR > TE-GLC-TNQ-TK TGR7,TE,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,TE-GLC-TNQ-TK TGR7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,11
240154,25d0f85d-57da-4cae-8ca2-9b682363407e-0003aa1a,Roofs,,Genérico - 400 mm,Genérico - 400 mm,TE > TE-ADM-LGC-EDIFICIOS VARIOS > TE-CLD-LGC-DPTOCALIDAD,TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-CLD-LGC-DPTOCALIDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,1
240182,25d0f85d-57da-4cae-8ca2-9b682363407e-0003aa36,Roofs,,Genérico - 400 mm,Genérico - 400 mm,TE > TE-ADM-LGC-EDIFICIOS VARIOS > TE-ADM-EDF-VESTUARIOS GRALES,TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-VESTUARIOS GRALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
243779,94c5ceaf-9c93-4a8b-ad76-b4723e012880-0003b843,Roofs,,Genérico - 400 mm,Genérico - 400 mm,TE > TE-ADM-LGC-EDIFICIOS VARIOS > TE-CLD-LGC-DPTOCALIDAD > TE-CLD-LGC-CALADO CAMIONES,TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-CLD-LGC-DPTOCALIDAD,TE-CLD-LGC-CALADO CAMIONES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
